姓名,当前创业公司/项目,当前职务,赛道,原大厂,原职位/经历,背景分类,融资轮次,报道日期,媒体/来源类型,来源URL,证据摘要,置信度,备注
罗勇,盯盯拍,创始人,智能车载影像、行车记录仪,华为,前华为海思视频芯片/图像处理负责人相关经历,技术背景,港股IPO递表,2026-07-01,36氪/IPO报道,https://36kr.com/p/3876587945275396,报道称盯盯拍创始人罗勇曾在华为工作多年，其中十年在华为海思，2013年离开华为创业。,高,消费电子/车载智能硬件方向。
王时远,穗升科技 / Memoket,创始人,AI记忆硬件、AI录音硬件,安克,前全球CMO、中国区总裁,市场背景,天使轮,2026-07-01,36氪,https://36kr.com/p/3867992509125636,报道称其从服务9年的安克离职创业，方向为AI Memory硬件。,高,36氪另有2025-12融资首发报道。
洪小平,若创科技 / Strutt,创始人,智能电动轮椅、移动机器人,大疆,激光雷达/光电模块研发负责人、激光雷达业务负责人,技术背景,Pre-A轮,2026-06-27,36氪,https://36kr.com/p/3867836299973634,报道称洪小平曾在大疆负责激光雷达及光电模块研发，后创立若创科技。,高,近两年多篇36氪报道。
许灵杰 Eak,栗上LISSOME,联合创始人,AI厨房机器人、智能厨电,大疆,曾任职于越疆、大疆，负责全球化硬件品牌与渠道拓展,市场背景,A轮,2026-06-22,36氪,https://36kr.com/p/3863779663320069,报道称联合创始人许灵杰Eak曾任职越疆、大疆等企业，具备全球化品牌建设经验。,高,2025和2026两篇36氪首发互证。
吴迪,丰疆智能,创始人、CEO,智能农机、无人农机,大疆,前首席科学家,技术背景,港股IPO递表,2026-06-11,36氪/融资报道,https://36kr.com/p/3848438218472327,报道称丰疆智能创始人吴迪曾担任大疆首席科学家，项目拟再闯港交所。,高,旧样本此前只有2020年报道；本次补入近24个月媒体报道。
谢博文,无限工坊 / Infimaker,创始人、CEO,消费级CNC、桌面制造,大疆,扫地机器人感知算法负责人,技术背景,天使轮+Pre-A轮,2026-05-15,36氪,https://36kr.com/p/3809919654403587,报道称创始人谢博文曾在大疆负责扫地机器人的感知算法。,高,公司核心成员也多来自大疆。
李承,UNICUS,联合创始人,AI个性化制造、智能硬件,大疆,无人机智能产线研发负责人,技术背景,暂无,2026-04-13,36氪,https://36kr.com/p/3763919765226240,报道称联合创始人李承为前大疆无人机智能产线研发负责人。,高,近两年新融资报道。
薛立君,Ludens AI,创始人,AI陪伴机器人、消费机器人,大疆,工程师,技术背景,天使轮/天使+轮,2026-04-13,36氪,https://36kr.com/p/3764777930621705,报道称Ludens AI创始人薛立君曾任特斯拉和大疆工程师。,高,近两年新项目报道。
陈子涵/陈子寒,拓竹科技 / Bambu Lab,联合创始人、首席工程师,桌面级3D打印、消费硬件,大疆,云台部门主管,技术背景,暂无,2026-03-04,36氪,https://36kr.com/p/3707227401089541,报道称拓竹首席工程师陈子寒曾任大疆云台部门主管；其他报道写作陈子涵。,中,姓名存在子涵/子寒写法差异，需工商或招股书校准。
高修峰,拓竹科技 / Bambu Lab,联合创始人、CTO,桌面级3D打印、消费硬件,大疆,系统工程部负责人,技术背景,暂无,2026-03-04,36氪,https://36kr.com/p/3707227401089541,报道称拓竹CTO高修峰曾任大疆系统工程部负责人。,高,与拓竹创始团队口径互证。
刘怀宇,拓竹科技 / Bambu Lab,联合创始人、COO,桌面级3D打印、消费硬件,大疆,DJI Goggles、数字FPV系统、FPV无人机产品经理,其他背景,暂无,2026-03-04,36氪,https://36kr.com/p/3707227401089541,报道称拓竹COO刘怀宇曾负责大疆飞行眼镜、数字FPV系统和FPV无人机产品。,高,与拓竹创始团队口径互证。
彭锐,擎羽科技,创始人、CEO,仿生柔性机器人,大疆,嵌入式工程师,技术背景,天使轮,2026-03-04,投资界/清科,https://news.pedaily.cn/202603/561370.shtml,报道称擎羽科技创始人兼CEO彭锐曾任大疆嵌入式工程师。,高,公司成立于2025年3月，近两年样本。
马骥,光启之境,创始人,AI影像消费硬件,小米,前小米MIUI系统负责人,技术背景,暂无,2026-01-26,投资界/清科/融资盘点,https://news.pedaily.cn/202601/560401.shtml,报道称前小米MIUI系统负责人马骥创立AI影像消费硬件企业光启之境。,高,小米加入扩展母公司池后的新增样本。
苏铁,湃岛科技,创始人,AI拍立得、影像消费硬件,大疆,前大疆如影产品线负责人,其他背景,暂无,2026-01-26,投资界/清科/融资盘点,https://news.pedaily.cn/202601/560401.shtml,报道称前大疆如影产品线负责人苏铁创立湃岛科技，进军AI拍立得赛道。,高,近24个月报道的新消费硬件样本。
王腾,今日宜休,创始人,AI睡眠、智能健康硬件,小米/Redmi,前小米中国区市场部总经理、Redmi品牌总经理,市场背景,种子轮,2026-01-26,投资界/清科/融资盘点,https://news.pedaily.cn/202601/560401.shtml,报道称前小米中国区市场部总经理、Redmi品牌总经理王腾创立AI睡眠公司今日宜休。,高,小米加入扩展母公司池后的新增样本。
张宏辉,目心智能,创始人,智能割草机器人,大疆,视觉感知部门负责人,技术背景,B轮,2026-01-25,36氪,https://36kr.com/p/3654503589896583,报道称目心智能由前大疆视觉感知部门负责人张宏辉创立。,高,报道同时称初始核心团队约15人来自大疆感知部门。
林源,物种起源,创始人,高速吹风机、消费电子,大疆,高级工程师,技术背景,暂无,2026-01-08,36氪,https://36kr.com/p/3630643624358658,报道称前大疆高级工程师林源创立高速吹风机品牌物种起源。,中,需补一手公司/融资报道确认当前状态。
石峻,折跃科技,创始人,载人飞行器、飞控,大疆,第6号员工、飞控算法专家,技术背景,暂无,2026-01-08,36氪,https://36kr.com/p/3630643624358658,报道称大疆6号员工、前飞控算法专家石峻创立折跃科技。,中,需补公司官网/工商。
王铭钰,汝原科技,创始人,割草机器人、智能硬件,大疆,研发副总裁,技术背景,暂无,2026-01-08,36氪,https://36kr.com/p/3630643624358658,报道称前大疆研发副总裁王铭钰创立割草机器人品牌汝原科技。,中,需补融资或工商口径。
王兴兴,宇树科技,创始人、CEO,四足/人形机器人,大疆,无人机工程师,技术背景,暂无,2026-01-08,36氪,https://36kr.com/p/3630643624358658,报道将其列为大疆系创业者，称前大疆无人机工程师王兴兴创立宇树科技。,高,创业时间较早，近两年因机器人赛道持续报道。
唐文轩,LiberLive,创始人,无弦吉他、音乐消费硬件,大疆,工程师,技术背景,暂无,2025-12-02,36氪,https://36kr.com/p/3578144930249606,报道称90后前大疆工程师唐文轩创办无弦吉他LiberLive并完成两轮融资。,中,需要补充项目首发报道和岗位细节。
王雷,正浩创新 / EcoFlow,联合创始人,便携式储能、户外电源,大疆,电池研发部创立者与负责人,技术背景,美股IPO启动,2025-12-02,36氪,https://36kr.com/p/3578144930249606,近两年报道称王雷为大疆昔日电池研发部负责人，创办正浩创新。,高,早期深度报道详见36氪2024-01-04焦点分析。
魏基栋,松灵机器人 / AgileX,创始人、CEO,移动机器人底盘、低速无人驾驶,大疆,研发经理、RoboMaster一号员工/联合创始人,技术背景,暂无,2025-12-02,36氪,https://36kr.com/p/3578144930249606,近两年报道称其为大疆前高管；早期36氪报道说明其曾任大疆研发经理。,高,创业时间较早，近两年仍被作为大疆系创业样本引用。
武文琦,ASMOKE,创始人,户外智能硬件、烧烤炉,大疆,具体岗位未披露,其他背景,A轮,2025-12-02,36氪,https://36kr.com/p/2912920096938886,报道称武文琦于2021年从大疆离职后寻找创业方向，创立ASMOKE。,中,需补前大疆岗位。
郭亚楠,Zettlab,创始人、CEO,AI+消费电子,大疆,AI/消费电子相关岗位，后任云鲸AI团队与产品负责人,技术背景,第三轮融资,2025-11-03,36氪,https://36kr.com/p/3535998221032321,报道称郭亚楠从大疆到云鲸，后创立Zettlab并负责AI+消费电子方向。,中,需补更明确的大疆岗位。
陶冶,拓竹科技 / Bambu Lab,联合创始人、CEO,桌面级3D打印、消费硬件,大疆,动力系统部门经理、Mavic Pro产品经理、消费级无人机事业部负责人,技术背景,暂无,2025-11-03,36氪,https://36kr.com/p/3537131216935814,报道称其2012年加入大疆，后与多位大疆同事创立拓竹科技。,高,创业时间为2020年，近两年有多篇拓竹融资/行业报道。
吴伟,拓竹科技 / Bambu Lab,联合创始人,桌面级3D打印、消费硬件,大疆,来自大疆，具体岗位未披露,其他背景,暂无,2025-11-03,36氪,https://36kr.com/p/3537131216935814,报道称陶冶与同样来自大疆的高修峰、刘怀宇、陈子涵、吴伟创立拓竹。,中,具体大疆岗位需补证。
白睿,元相科技,创始人,相变金属材料、便携制冷/制热硬件,大疆,电机控制团队负责人,技术背景,暂无,2025-10-20,36氪,https://36kr.com/p/3516133630303365,报道称元相科技创始人白睿曾任大疆创新电机控制团队负责人。,高,元相由一晤未来孵化。
季宇,行云集成电路,联合创始人、CEO,AI芯片编译器、半导体基础软件,华为海思,前华为海思天才少年,技术背景,暂无,2025-09-28,36氪/行业报道,https://36kr.com/p/3486330304175234,报道称季宇2023年从华为离职，联合创立行云集成电路并担任CEO。,高,半导体方向，符合用户项目行业边界。
余洪敏,行云集成电路,CTO,AI芯片编译器、半导体基础软件,华为海思,前车载昇腾芯片总负责人,技术背景,暂无,2025-09-28,36氪/行业报道,https://36kr.com/p/3486330304175234,报道称行云CTO余洪敏曾担任华为海思车载昇腾芯片总负责人。,高,CTO口径计入。
匡正,墨现科技,创始人,触觉传感器、机器人电子皮肤,大疆,工程师，参与无人机压力传感系统研发,技术背景,暂无,2025-09-10,36氪,https://36kr.com/p/3460347957613954,报道称墨现科技创始人匡正是前大疆工程师，核心团队多来自大疆。,高,姓名在少量来源中可能写作匡正则，需二次核名。
陈同庆,它石智航,联合创始人、首席架构师,端到端智能驾驶、AI机器人,华为,前华为ADS智能导航部部长,技术背景,天使轮,2025-08-13,36氪/行业报道,https://36kr.com/p/3420574080519813,报道称陈同庆为它石智航联合创始人、首席架构师，曾任华为ADS智能导航部部长。,高,联合创始人口径计入。
陈源培,灵初智能,联合创始人,具身智能、机器人,华为,华为天才少年入选者,技术背景,天使轮,2025-08-13,36氪/行业报道,https://36kr.com/p/3420574080519813,报道称灵初智能联合创始人陈源培是00后，也曾是华为天才少年入选者。,中,需补其在华为具体岗位与创业报道原文。
邓泰华,智元机器人,董事长、CEO,具身智能、人形机器人,华为,前华为副总裁、计算产品线总裁,其他背景,暂无,2025-08-13,36氪/行业报道,https://36kr.com/p/3420574080519813,报道称智元董事长兼CEO邓泰华曾任华为副总裁、计算产品线原总裁。,高,CEO口径计入。
丁文超,它石智航,联合创始人、首席科学家,端到端智能驾驶、AI机器人,华为,前华为天才少年、ADS预测决策团队负责人,技术背景,天使轮,2025-08-13,36氪/行业报道,https://36kr.com/p/3420574080519813,报道称丁文超为它石智航联合创始人、首席科学家，曾是华为天才少年并负责ADS预测决策团队。,高,联合创始人口径计入。
李银川,诺因知行 / 诺因智能,创始人,自动驾驶、端到端智驾,华为,前华为诺亚方舟实验室首席研究员,技术背景,暂无,2025-08-13,36氪/行业报道,https://36kr.com/p/3420574080519813,报道称诺因知行创始人李银川出走创业前曾是华为诺亚方舟实验室首席研究员。,高,偏汽车智能化，但属于AI硬件/智能硬件外溢。
彭志辉/稚晖君,智元机器人,联合创始人、CTO,具身智能、人形机器人,华为,前华为天才少年、昇腾AI边缘计算专家,技术背景,暂无,2025-08-13,36氪/行业报道,https://36kr.com/p/3420574080519813,报道称稚晖君是智元联合创始人、现任CTO，此前以华为天才少年身份入职。,高,A类角色清晰。
Vincent,它石智航,联合创始人、首席战略官,端到端智能驾驶、AI机器人,华为,曾任职华为,其他背景,天使轮,2025-08-13,36氪/行业报道,https://36kr.com/p/3420574080519813,报道称联合创始人、首席战略官Vincent也曾在华为任职。,中,仅披露英文名，需继续补全中文名。
袁谦,光子跃迁,创始人,运动相机、AI影像硬件,追觅,前高管,其他背景,天使轮,2025-08-07,36氪/融资报道,https://36kr.com/p/3411501286726018,报道称原追觅科技高管袁谦离职创办运动相机企业光子跃迁，并完成亿元级天使轮融资。,高,符合扩展母公司池和A类角色。
李畅,森合创新,创始人,泳池清洁机器人、庭院智能硬件,云鲸/追觅,云鲸联合创始人之一、追觅研发经理,技术背景,天使轮,2025-05-16,36氪/融资报道,https://36kr.com/p/3295067189889025,报道称李畅曾是云鲸联合创始人之一，还曾在追觅科技担任研发经理，后创办森合创新。,中,公司后续被报道解散，保留为反面/失败样本。
吴文龙,智岩科技 / Govee,创始人、CEO,智能家居、氛围照明、智能硬件出海,安克,安克创新创始人之一、前CTO,技术背景,IPO辅导备案,2025-05-12,投中网,https://www.chinaventure.com.cn/news/78-20250512-386228.html,报道称其为安克创新创始人之一及前CTO，2017年离职创办智岩科技。,高,创业时间较早，但近两年有IPO辅导/融资价值报道。
高建荣,妙动科技 / Mondo Tech,实控人、联合创始人,消费级具身机器人、娱乐机器人,大疆,总经理助理、高级总监、供应链负责人,其他背景,暂无,2025-04-09,36氪,https://36kr.com/p/3242390096592518,报道称高建荣曾任大疆总经理助理、高级总监、供应链负责人，并注册妙动科技。,高,与杨硕共同负责过RoboMaster。
杨硕,妙动科技 / Mondo Tech,创始人、联合创始人兼CTO,消费级具身机器人、娱乐机器人,大疆,技术总监，曾负责RoboMaster相关业务,技术背景,暂无,2025-04-09,36氪,https://36kr.com/p/3242390096592518,报道称杨硕早年曾在大疆担任技术总监，后以妙动科技创始人身份创业。,高,同篇报道称其离开特斯拉后正式入局妙动。
陈亦伦,它石智航,创始人、CEO,端到端智能驾驶、AI机器人,华为/大疆,前华为车BU自动驾驶系统CTO、首席科学家；前大疆机器视觉总工程师,技术背景,天使轮,2025-03-25,36氪/融资报道,https://36kr.com/p/3222527480014345,报道称它石智航创始人是原华为车BU自动驾驶系统CTO、首席科学家陈亦伦博士，其还曾任大疆机器视觉总工程师。,高,同时命中华为与大疆母公司池。
秦诗玮,微埃智能,联合创始人,纺织智能机器人、工业AI,大疆,无线工程师,技术背景,A+轮,2024-11-06,36氪,https://36kr.com/p/3024554816513545,报道称联合创始人秦诗玮曾任大疆创新无线工程师。,高,近两年A+轮融资报道。
