线索等级,项目/公司线索,疑似人物,疑似原大厂,方向,融资轮次,线索状态,交叉验证结论,媒体/来源,报道日期,标题,来源URL,下一步,已入主表匹配
A类已入主表,松鼠动力 / Evotrex,萧昂,安克,出海消费硬件品牌,Pre-A轮/亿元级融资/多轮融资,已入实名主表,萧昂/松鼠动力已入A类主表；该融资稿补充融资轮次和安克产品线总经理兼产品总监经历。,36氪,2026-07-05,松鼠动力官宣完成亿元级融资，高鹄资本担任独家财务顾问-36氪,https://36kr.com/p/3521265467644808,无需重复录入，可作为萧昂/松鼠动力互证来源,是
A类已入主表,硅羽科技 / SPARO,张富,大疆、宇树,机器人/具身智能,种子轮后连续四轮数亿元融资,已入实名主表,同日36氪首发已入A类；该报道补充同一项目融资进展。,36氪,2026-07-02,硅羽科技完成数亿元融资，加速技术平台的持续迭代-36氪,https://36kr.com/p/3877920839302025,无需重复录入，可作为张富/硅羽科技互证来源,是
A类已入主表,作者丨欧雪,,大疆,AI硬件/智能终端,数亿元,已入实名主表,已匹配A类主表：张富 / 硅羽科技 / SPARO,36氪,2026-07-02,36氪首发 | 前大疆科学家创业，半年内连获四轮数亿融资，耀途资本、锦秋基金等押注-36氪,https://36kr.com/p/3877830625046535,无需重复录入，可补更多来源互证,是
A类已入主表,硅羽科技,,大疆,AI硬件/智能终端,数亿元,已入实名主表,已匹配A类主表：张富 / 硅羽科技 / SPARO,36氪,2026-07-02,36氪首发 | 前大疆科学家创业，半年内连获四轮数亿融资，耀途资本、锦秋基金等押注-36氪,https://36kr.com/p/3877830625046535,无需重复录入，可补更多来源互证,是
A类已入主表,云玦科技,彭超,大疆,AI硬件/智能终端,暂无,已入实名主表,彭超/云玦科技已在A类主表；该36氪AI硬件综述是同源记录，不再作为待补证项目保留。,36氪,2026-07-01,0营收，100亿估值：大厂AI高管创业，正在被投资人疯抢-36氪,https://36kr.com/p/3876499565097225,无需重复录入，可补独立项目首发或融资稿,是
B类高可信候选,ZuzuZoos / 查无此园,董晓楠；前大疆清扫机器人机械结构负责人（未披露姓名）,大疆,机器人/具身智能,Pre-A轮，数千万元,已交叉验证B类-缺前大疆实名,36氪同稿显示创始人董晓楠并非大疆背景；大疆背景人员为未披露姓名的硬件负责人，暂不进入A类。,36氪,2026-07-01,硬氪首发 | moody前高管搭档大疆骨干入局陪伴机器人，锦秋领投，融资数千万-36氪,https://36kr.com/p/3877015761039619,继续自动检索硬件负责人姓名；补到实名后再判断是否升A,否
C类项目线索,大厂AI高管创业趋势文章,职或者刚,大疆,AI硬件/智能终端,暂无,已归档-行业背景,该段只描述投资人争抢大疆在职或刚离职员工，未披露可入库的创业项目和实名人物。,投资界/清科,2026-07-01,0营收，100亿估值：大厂AI高管创业，正在被投资人疯抢,https://news.pedaily.cn/202607/565734.shtml,归档为趋势背景来源,否
C类项目线索,大厂AI高管创业趋势文章,王雷,大疆、拓竹、正浩、正浩创新,AI硬件/智能终端,暂无,已归档-行业背景,该段只描述投资人争抢大疆在职或刚离职员工，未披露可入库的创业项目和实名人物。,投资界/清科,2026-07-01,0营收，100亿估值：大厂AI高管创业，正在被投资人疯抢,https://news.pedaily.cn/202607/565734.shtml,归档为趋势背景来源,是
A类已入主表,若创科技 / Strutt,洪小平创,大疆,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：洪小平 / 若创科技 / Strutt,36氪,2026-06-25,元璟资本王琦：做投资最重要的能力，是寻找“巨浪”-36氪,https://36kr.com/p/3867836299973634,无需重复录入，可补更多来源互证,是
A类已入主表,栗上,谢明佐、许灵杰、为主导矿、联合、Eak、完成数千,大疆、华为,机器人/具身智能,数千万元,已入实名主表,已匹配A类主表：许灵杰 Eak / 栗上LISSOME,36氪,2026-06-22,36氪首发｜红杉中国、Brizan Ventures领投，AI厨房机器人品牌「栗上LISSOME」完成数千万元A轮融资-36氪,https://36kr.com/p/3863779663320069,无需重复录入，可补更多来源互证,是
A类已入主表,无限工坊,,DJI,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：谢博文 / 无限工坊 / Infimaker,36氪,2026-05-15,36氪首发 | 前大疆核心成员做消费级CNC，获美团、昆仑资本、奇绩创坛投资近亿元-36氪,https://36kr.com/p/3809919654403587,无需重复录入，可补更多来源互证,是
A类已入主表,无限工坊,出身、创始人兼,DJI,机器人/具身智能,天使轮,已入实名主表,已匹配A类主表：谢博文 / 无限工坊 / Infimaker,36氪,2026-05-15,昆仑资本独家领投并连续追投，无限工坊完成天使轮和Pre-A轮近亿元融资-36氪,https://36kr.com/p/3810336071851526,无需重复录入，可补更多来源互证,是
B类高可信候选,拓竹科技 / Bambu Lab,陶冶更、据了解、创始,大疆、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹创始团队已在A类主表；该条为行业重复报道。,36氪,2026-05-15,深圳四小龙，一场3D打印的「降维」与「反降维」-36氪,https://36kr.com/p/3809912700149256,归档为拓竹互证来源,否
A类已入主表,拓竹科技 / Bambu Lab,,大疆、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹已在A类主表；该条为3D打印行业重复报道。,36氪,2026-04-23,“深圳四小龙”，谁是3D打印第一？-36氪,https://36kr.com/p/3778683779798018,归档为拓竹互证来源,是
C类项目线索,大疆公司治理/汪滔报道,汪滔学会、仅表达了、礼崩乐坏,大疆,原核心消费电子,暂无,已归档-非离职创业样本,文章主体是大疆创始人汪滔和公司治理，不是从大厂离职创业者样本。,36氪,2026-04-22,“礼崩乐坏”之后，大疆创始人汪滔学会了认输-36氪,https://36kr.com/p/3776555707894018,归档,否
C类项目线索,大厂人才溢出背景,,大疆,AI硬件/智能终端,暂无,已归档-行业背景,文章为人才流动分析，未抽到可入库的新增实名项目。,36氪,2026-04-20,核心高管批量出走：大疆、理想的“人才溢出”是危机还是机遇？-36氪,https://36kr.com/p/3774637254537986,归档,否
A类已入主表,Ludens,薛立君、LudensAI,大疆,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：薛立君 / Ludens AI,36氪,2026-04-13,早期项目 | 前大疆工程师创业陪伴机器人，李泽湘连投三轮，产品即将登陆众筹-36氪,https://36kr.com/p/3764777930621705,无需重复录入，可补更多来源互证,是
A类已入主表,UNICUS,李承,大疆,AI硬件/智能终端,暂无,已入实名主表,李承/UNICUS已在A类主表，该行是同源重复片段。,36氪,2026-04-13,36氪首发｜港中文博士和前大疆智能制造负责人创业，要做AI时代的“个性化乐高”-36氪,https://36kr.com/p/3763919765226240,无需重复录入,是
A类已入主表,拓竹/正浩等大疆系背景,陶冶、同样,大疆、拓竹、正浩、EcoFlow,出海消费硬件品牌,暂无,已归档-重复报道,涉及陶冶、正浩等已入库样本，作为背景互证保留。,36氪,2026-04-10,傲慢的汪滔，用了八年学会低头-36氪,https://36kr.com/p/3759804536762880,归档,是
A类已入主表,拓竹科技 / Bambu Lab,高修峰、陶冶更、队几乎都、师陈子寒,大疆、大疆创新、拓竹,AI硬件/智能终端,暂无,已归档-重复报道,拓竹创始团队已在A类主表；该条不新增人物。,36氪,2026-04-07,创想三维冲击港股、拓竹陷版权争议，3D打印掀起“代理人战争”？-36氪,https://36kr.com/p/3755303834501892,归档,是
A类已入主表,中国AI硬件全球化盘点,陶冶、王雷、张峻彬、王兴兴、最引、还有正浩,大疆、拓竹、正浩、正浩创新、EcoFlow、云鲸、云鲸智能,机器人/具身智能,暂无,已归档-盘点背景,该行混合多个已入库人物和孵化圈层人物，不形成单一新增A类记录。,36氪,2026-03-31,中国AI硬件的全球雄心-36氪,https://36kr.com/p/3746220266373895,归档为背景来源,是
A类已入主表,擎羽科技,创始人兼,大疆,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：彭锐 / 擎羽科技,36氪,2026-03-04,前大疆工程师创业，宇树天使投资人出手，仿生柔性机器人公司完成新融资｜硬氪首发-36氪,https://36kr.com/p/3701222224817801,无需重复录入，可补更多来源互证,是
A类已入主表,擎羽科技,彭锐、创始人兼,大疆,机器人/具身智能,数千万元,已入实名主表,已匹配A类主表：彭锐 / 擎羽科技,投资界/清科,2026-03-04,前大疆工程师创业，擎羽科技完成数千万元天使轮融资,https://news.pedaily.cn/202603/561370.shtml,无需重复录入，可补更多来源互证,是
C类项目线索,拓竹科技 / Bambu Lab,,大疆、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2026-02-10,3D打印机，走出极客圈-36氪,https://36kr.com/p/3677201293369987,归档,否
C类项目线索,拓竹科技 / Bambu Lab,陶冶、打印企业,大疆、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2026-02-03,深圳投资人，难进“大疆圈”-36氪,https://36kr.com/p/3667290634232709,归档,否
A类已入主表,拓竹科技 / Bambu Lab,冶与同样,大疆、拓竹、Bambu,原核心消费电子,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2026-01-30,拓竹爆红：捐赠1亿-36氪,https://36kr.com/p/3661638629810816,归档,是
A类已入主表,心感智影,苏铁,大疆、华为,AI硬件/智能终端,暂无,已入实名主表,已匹配A类主表：苏铁 / 湃岛科技,投资界/清科,2026-01-26,AI时代，大厂高管创业潮,https://news.pedaily.cn/202601/560401.shtml,无需重复录入，可补更多来源互证,是
A类已入主表,光启之境,马骥,小米,AI硬件/智能终端,暂无,已入实名主表,已匹配A类主表：马骥 / 光启之境,投资界/清科,2026-01-26,AI时代，大厂高管创业潮,https://news.pedaily.cn/202601/560401.shtml,无需重复录入，可补更多来源互证,是
A类已入主表,目心智能,张宏辉,大疆,机器人/具身智能,B轮,已入实名主表,张宏辉/目心智能已在A类主表，该行是同源重复片段。,36氪,2026-01-25,中国公司全球化周报｜荣耀、倍思、努比亚等50+品牌签约速卖通品牌出海/《明日方舟：终末地》全球公测，阿里云提供技术支撑-36氪,https://36kr.com/p/3654503589896583,无需重复录入,是
B类高可信候选,北美AI高端烹饪硬件项目（前泽宝创始人再创业）,前泽宝创始人；核心成员来自大疆、华为（未披露大疆实名）,大疆、华为,AI硬件/智能终端,暂无,已交叉验证B类-团队实名不足,36氪报道只确认核心成员来自大疆、华为，未披露来自大疆的实名高管；保留为团队线索，不进入A类。,36氪,2026-01-15,前泽宝创始人再创业，深耕北美AI高端烹饪，首年营收破两千万美元、毛利超60%｜早期项目-36氪,https://36kr.com/p/3639448562716033,继续自动检索项目正式公司名和来自大疆成员姓名,否
A类已入主表,宇树科技,,大疆、正浩、正浩创新,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：王兴兴 / 宇树科技,36氪,2026-01-08,2025年“最靓的崽”：大疆系创业者-36氪,https://36kr.com/p/3630643624358658,无需重复录入，可补更多来源互证,是
B类高可信候选,大疆系创业者盘点扩展,陈宇奇；张峻彬,大疆、大疆创新、云鲸、云鲸智能,机器人/具身智能,暂无,已归档-孵化圈层非原大厂,该段说的是李泽湘孵化圈层，并非明确前大疆任职创业；不按A类入库。,36氪,2026-01-08,2025年“最靓的崽”：大疆系创业者-36氪,https://36kr.com/p/3630643624358658,归档为扩展观察,是
C类项目线索,大疆系创业者盘点,的职位,大疆、拓竹、华为,AI硬件/智能终端,暂无,已归档-盘点背景,该段是盘点导语，不是可入库的单一实名样本。,36氪,2026-01-08,2025年“最靓的崽”：大疆系创业者-36氪,https://36kr.com/p/3630643624358658,归档,是
C类项目线索,云鲸挖人大疆传闻,张峻彬,大疆、拓竹、云鲸、云鲸智能,机器人/具身智能,暂无,已归档-非创业项目,该段为挖人/竞争背景，不是新增离职创业项目。,36氪,2026-01-08,2025年“最靓的崽”：大疆系创业者-36氪,https://36kr.com/p/3630643624358658,归档,是
A类已入主表,清闲智能LiberNovo,,大疆、云鲸,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：Alex Yan / 清闲智能 / LiberNovo,36氪/项目补漏扫描,2026-01-04,刷新迟到记录的老罗，状况百出的「科技春晚」-36氪,https://36kr.com/p/3624605624567043,无需重复录入，可补更多来源互证,是
A类已入主表,拓竹科技 / Bambu Lab,陶冶,大疆、大疆创新、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2025-12-19,资本重新盯上3D打印-36氪,https://36kr.com/p/3602168632280072,归档,是
A类已入主表,拓竹科技 / Bambu Lab,例如拓竹、创业时会、冶一样均、共有,大疆、拓竹,原核心消费电子,暂无,已归档-重复报道,拓竹已在A类主表；该条为大疆/拓竹背景重复报道。,36氪,2025-12-17,素食者汪滔，困在千亿大疆王国里-36氪,https://36kr.com/p/3599087026536967,归档,是
A类已入主表,正浩创新,王雷,大疆、正浩、正浩创新,出海消费硬件品牌,暂无,已入实名主表,已匹配A类主表：王雷 / 正浩创新 / EcoFlow,36氪,2025-12-02,大疆旁边咖啡馆挤满了投资人-36氪,https://36kr.com/p/3578144930249606,无需重复录入，可补更多来源互证,是
C类项目线索,拓竹科技 / Bambu Lab,高修峰、拓竹创始,大疆、DJI、拓竹,AI硬件/智能终端,暂无,已归档-重复报道,拓竹已在A类主表；该条为大疆与拓竹竞争背景。,36氪,2025-11-28,大疆撕扯“小大疆”-36氪,https://36kr.com/p/3572451445898375,归档,否
C类项目线索,拓竹科技 / Bambu Lab,陶冶、要知道、始人陶冶,大疆、大疆创新、拓竹,原核心消费电子,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2025-11-27,大疆卷入新战场，这个“印钞机”行业热钱涌动-36氪,https://36kr.com/p/3571301605932169,归档,否
C类项目线索,拓竹科技 / Bambu Lab,曾负责操、由中国无,大疆、大疆创新、拓竹,机器人/具身智能,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2025-11-26,腾讯投资拓竹，3D打印市场卷疯了：大疆才是幕后超级赢家？-36氪,https://36kr.com/p/3568527733046149,归档,否
C类项目线索,拓竹科技 / Bambu Lab,高修峰、陶冶则在、比如、拓竹、他们、师陈子寒,大疆、拓竹,AI硬件/智能终端,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2025-11-26,当“老东家”和“新黑马”摸向对方的“逆鳞”-36氪,https://36kr.com/p/3569745180523397,归档,否
C类项目线索,拓竹科技 / Bambu Lab,曾负责操、由中国无,大疆、大疆创新、拓竹,机器人/具身智能,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2025-11-25,腾讯大疆死磕3D打印：深圳四大天王“人均第一”，下一个风口？-36氪,https://36kr.com/p/3568168754157705,归档,否
A类已入主表,拓竹科技 / Bambu Lab,陶冶在、陶冶、起因、拓竹核心、样有很多、打印机杀,大疆、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2025-11-20,800元一台，年入55亿，3D打印机杀疯了-36氪,https://36kr.com/p/3561225718709381,归档,是
C类项目线索,拓竹科技 / Bambu Lab,陶冶在朋、汪滔十年、面对老东、他在文中,大疆、拓竹,出海消费硬件品牌,暂无,已归档-重复报道,拓竹已在A类主表；该条为行业重复报道。,36氪,2025-11-20,五个大疆前员工攒了个3D打印公司，年入60亿，老东家坐不住了-36氪,https://36kr.com/p/3560655249947777,归档,否
A类已入主表,正浩创新,王雷、员也大多,大疆、拓竹、正浩、正浩创新,出海消费硬件品牌,暂无,已入实名主表,已匹配A类主表：王雷 / 正浩创新 / EcoFlow,36氪,2025-11-17,VC开抢地平线前员工-36氪,https://36kr.com/p/3556886841195392,无需重复录入，可补更多来源互证,是
C类项目线索,影石/大疆竞争报道,刘靖康在、影石,大疆、影石,原核心消费电子,暂无,已归档-非离职创业样本,文章主体是两家公司竞争，不是离职创业者样本。,36氪,2025-11-13,大疆、影石“肉搏战”升级-36氪,https://36kr.com/p/3550786029762694,归档,否
A类已入主表,栗上LISSOME,Steve、许灵杰、联合、超千万元,大疆,机器人/具身智能,Pre-A轮,已入实名主表,已匹配A类主表：许灵杰 Eak / 栗上LISSOME,36氪,2025-11-08,36氪首发｜高秉强投资的智能厨电团队，「栗上LISSOME」完成超千万元Pre-A轮融资-36氪,https://36kr.com/p/3543206977597316,无需重复录入，可补更多来源互证,是
A类已入主表,拓竹科技 / Bambu Lab,,大疆、拓竹、Bambu,出海消费硬件品牌,暂无,已入实名主表,已匹配A类主表：陶冶 / 拓竹科技 / Bambu Lab,36氪,2025-11-03,大疆离职员工，「打印」出一个百亿独角兽-36氪,https://36kr.com/p/3537131216935814,无需重复录入，可补更多来源互证,是
C类项目线索,大疆竞争格局报道,相似的技、疆将面临,大疆、影石、影石创新、追觅、追觅科技、石头、石头科技、科沃斯,机器人/具身智能,暂无,已归档-行业背景,该行是行业竞争背景，不是新增创业者样本。,36氪,2025-10-11,大疆降价，成长的烦恼-36氪,https://36kr.com/p/3503431779276929,归档,否
A类已入主表,华为天才少年离职盘点,万年薪、除了彭志、智元董事、中还、邓泰华、十位,华为,机器人/具身智能,暂无,已归档-非目标口径,该行未指向消费硬件/机器人创业项目，暂不纳入本库。,36氪,2025-09-28,十位离职华为的「天才少年」-36氪,https://36kr.com/p/3486330304175234,归档,是
A类自动补全,库犸动力,魏基栋,大疆,机器人/具身智能,暂无,自动升级A类,36氪明确写到“大疆前高管魏基栋创立的库犸动力”，满足姓名、项目、原大厂经历三要素。,36氪,2025-09-17,全球硬件大爆款，生于中国｜深氪-36氪,https://36kr.com/p/3470301182891396,已自动补入A类；继续自动补第二来源和融资轮次,自动
C类项目线索,AI硬件投资趋势文章,他所在,大疆、追觅、小米,机器人/具身智能,暂无,已归档-行业背景,文章讨论AI硬件创始人大厂化趋势，未给出符合母公司池的新增实名A类样本。,投资界/清科,2025-09-16,从大厂离职创业做硬件，真值那么多钱？,https://news.pedaily.cn/202509/554924.shtml,归档为趋势背景来源,否
C类项目线索,AI硬件投资趋势文章,也确实跑、大厂出身、乎清一色、和吴伟都,大疆、拓竹,AI硬件/智能终端,暂无,已归档-行业背景,文章讨论AI硬件创始人大厂化趋势，未给出符合母公司池的新增实名A类样本。,投资界/清科,2025-09-16,从大厂离职创业做硬件，真值那么多钱？,https://news.pedaily.cn/202509/554924.shtml,归档为趋势背景来源,是
A类已入主表,墨现科技,队也大多、匡正,大疆,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：匡正 / 墨现科技,36氪,2025-09-10,大疆教父李泽湘和他的机器人军团-36氪,https://36kr.com/p/3460347957613954,无需重复录入，可补更多来源互证,是
A类已入主表,LiberLive,曾任职于、创始人,大疆、正浩、正浩创新,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：唐文轩 / LiberLive,36氪,2025-09-10,大疆教父李泽湘和他的机器人军团-36氪,https://36kr.com/p/3460347957613954,无需重复录入，可补更多来源互证,是
A类已入主表,墨现科技,队也大多、匡正,大疆,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：匡正 / 墨现科技,36氪,2025-09-09,大疆教父李泽湘，和他的65个机器人门 徒-36氪,https://36kr.com/p/3459422905177734,无需重复录入，可补更多来源互证,是
A类已入主表,正浩创新 / EcoFlow,王雷,大疆、正浩、正浩创新,机器人/具身智能,美股IPO启动,已入实名主表,正浩创新/王雷已在A类主表；该条只是一段未实名重复描述。,36氪,2025-09-09,大疆教父李泽湘，和他的65个机器人门 徒-36氪,https://36kr.com/p/3459422905177734,无需重复录入,是
A类已入主表,妙动科技 / Mondo Tech,杨硕；高建荣,大疆,机器人/具身智能,暂无,已入实名主表,杨硕、高建荣/妙动科技已在A类主表；该报道作为第二来源互证。,36氪,2025-08-13,今年机器人的新生力量很强，公司刚成立就被红杉、美团等投了-36氪,https://36kr.com/p/3420971536420231,无需重复录入,是
A类已入主表,智元,稚晖君、一位低调、邓泰华、也具身智、现任、还有一位,华为,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：邓泰华 / 智元机器人,36氪,2025-08-13,华为诺亚首席研究员，也具身智能创业了-36氪,https://36kr.com/p/3420574080519813,无需重复录入，可补更多来源互证,是
A类已入主表,光子跃迁,杨盛有无,大疆、影石、追觅、追觅科技,机器人/具身智能,天使轮,已入实名主表,已匹配A类主表：袁谦 / 光子跃迁,36氪,2025-08-07,大疆与影石，一场“同类”之间的第二曲线博弈-36氪,https://36kr.com/p/3411501286726018,无需重复录入，可补更多来源互证,是
C类项目线索,智元机器人离职新闻,闫维新,智元,机器人/具身智能,暂无,已归档-非创业项目,该条只报道智元联合创始人将离职，没有新创业项目或融资信息，不符合当前数据库入库口径。,投资界/清科,2025-08-06,投资界24h | 传智元联合创始人闫维新将离职；AI六小虎高管离职潮；北京国资容错来了,https://news.pedaily.cn/202508/553221.shtml,归档观察，后续若出现新项目再重新抓取,否
C类项目线索,影石访谈,刘靖康,影石,AI硬件/智能终端,暂无,已归档-非离职创业样本,这是影石创始人访谈，不是从影石/大疆等母公司离职后创业的新样本。,投中网,2025-07-09,对话 | “AI+硬件”，影石创新刘靖康解密如何让原创飞轮持续运转,https://www.chinaventure.com.cn/news/108-20250709-387086.html,归档，不进入待补证,否
A类已入主表,智岩科技 / Govee,吴文龙,安克,原核心消费电子,IPO辅导备案,已入实名主表,36氪硬氪分析与投中网共同指向吴文龙/智岩科技，作为A类互证来源。,36氪,2025-06-06,前安克CTO创业8年即将收获IPO：一条灯带背后的40亿生意｜硬氪分析,https://36kr.com/p/3324313016461576,无需重复录入,是
B类高可信候选,优理奇机器人 / UniX AI,杨丰瑜；核心团队来自优必选、追觅、大疆、华为等,大疆、追觅、优必选、华为终端,机器人/具身智能,天使轮及天使+轮，数亿元,已交叉验证B类-团队实名不足,投资界/清科确认创始人杨丰瑜来自耶鲁；大疆等为核心团队背景但未披露对应实名，暂不进A。,投资界/清科,2025-05-28,优理奇机器人完成数亿元融资，创始人来自耶鲁大学,https://news.pedaily.cn/202505/550311.shtml,继续自动检索大疆背景核心成员姓名,否
A类已入主表,森合创新,集结一支,大疆、云鲸、OPPO,机器人/具身智能,暂无,已入实名主表,已匹配A类主表：李畅 / 森合创新,36氪,2025-05-17,一个创业团队宣布解散-36氪,https://36kr.com/p/3296407128049669,无需重复录入，可补更多来源互证,是
A类已入主表,森合创新,李畅,追觅、追觅科技、云鲸,机器人/具身智能,天使轮,已入实名主表,李畅/森合创新已在A类主表；该报道为项目后续状态来源。,36氪,2025-05-16,又一家公司宣布解散，火爆一时的割草机行业正在疯狂洗牌-36氪,https://36kr.com/p/3295067189889025,无需重复录入,是
A类已入主表,智岩科技 / Govee,吴文龙,安克、安克创新,出海消费硬件品牌,IPO辅导备案,已入实名主表,吴文龙/智岩科技已在A类主表；该投中网报道为主来源。,投中网,2025-05-12,高瓴IDG押注，前安克创新CTO要IPO了,https://www.chinaventure.com.cn/news/78-20250512-386228.html,无需重复录入,是
C类项目线索,割草机器人行业背景,都有着漂、这些企业,大疆、云鲸,机器人/具身智能,暂无,已归档-行业背景,文章只描述行业内多家公司创始人来自大疆、云鲸等，未给出可入库实名。,36氪,2024-10-17,欧美人的草坪上，中国企业在“踩踏”-36氪,https://36kr.com/p/2995987784298375,归档为行业背景来源,否
A类已入主表,ASMOKE的,武文琦开、从大疆离、创始,大疆,原核心消费电子,A轮,已入实名主表,已匹配A类主表：武文琦 / ASMOKE,36氪,2024-08-19,高秉强投资大疆系团队，「ASMOKE」到海外卖智能烤炉 | 早期项目-36氪,https://36kr.com/p/2911695974193794,无需重复录入，可补更多来源互证,是
